Day,Date,Status,Pillar,Slug,Title,Target Keyword,Category,Problem Ref,Framework Ref,Outline,CTA Heading,CTA Description,CTA Button
1,2026-04-07,pending,P1,como-dentista-aparecer-primeira-pagina-google,"Como Fazer Seu Consultório Aparecer na Primeira Página do Google em 2025",dentista primeira página google,SEO,,,"Por que 82% dos pacientes buscam dentistas no Google | Os 3 fatores que o Google usa para ranquear consultórios | Google Meu Negócio: o fator #1 | SEO on-page para buscas locais | Avaliações e posicionamento | Checklist: 10 ações para subir no Google",Descubra Por Que Você Não Aparece no Google,Auditoria completa de SEO local do seu consultório — grátis.,Solicitar Auditoria de SEO
2,2026-04-08,pending,P2,cadeiras-vazias-consultorio-como-resolver,"Cadeiras Vazias no Consultório: 7 Causas Que Ninguém Te Conta",cadeiras vazias consultório odontológico,Gestão,2.1 Revenue Instability,,"A matemática das cadeiras vazias | Causa 1: Dependência de indicações | Causa 2: Presença digital inexistente | Causa 3: Google Maps mal otimizado | Causa 4: Sem follow-up | Causa 5: Recepção não treinada | Causa 6: Sem campanha ativa | Causa 7: Não aparecer em IA",Descubra Quantos Pacientes Você Está Perdendo,Diagnóstico gratuito mostra exatamente onde estão os pacientes que você não alcança.,Quero Meu Diagnóstico
3,2026-04-09,pending,P3,inteligencia-artificial-odontologia-2025,"Como a Inteligência Artificial Está Mudando a Odontologia em 2025",inteligência artificial odontologia,Tendências,,,"IA na busca por dentistas | Como pacientes usam IA para escolher | GEO: nova fronteira | IA no diagnóstico | Chatbots e automação | O que fazer AGORA",Seu Consultório Aparece em Respostas de IA?,Verificamos se ChatGPT e Gemini recomendam você — gratuitamente.,Diagnóstico de Presença em IA
4,2026-04-10,pending,P4,marketing-implantes-dentarios-captar-pacientes,"Marketing para Implantes Dentários: Como Captar Pacientes de R$5k a R$20k",marketing implantes dentários,Implantodontia,Step C — Premium Funnel Implantes,,"Implantes: mais lucrativo e mais difícil de vender | Jornada do paciente de implante | Palavras-chave que convertem | Landing page: 6 elementos | Google Ads vs. SEO | Comunicar valor sem antes/depois | Funil de nutrição",Quer Captar Pacientes de Implante?,Estratégia personalizada de captação para implantodontistas.,Estratégia Para Implantodontia
5,2026-04-11,pending,P5,valor-percebido-dentista-como-cobrar-mais,"Por Que Pacientes Questionam Seu Preço — e Como Resolver",como cobrar mais consultório odontológico,Estratégia,1.1 Having prices challenged,"Hormozi Value Equation: Dream Result × PLOA ÷ (Time × Effort)","A Equação de Valor | Resultado Desejado | Probabilidade Percebida | Tempo e rapidez | Esforço do paciente | 5 formas de aumentar valor percebido | Case: de R$3k para R$12k",Reposicione Seu Valor,Diagnóstico gratuito do posicionamento de valor do seu consultório.,Diagnóstico de Posicionamento
6,2026-04-12,pending,P1,google-maps-dentista-como-aparecer-top-3,"Google Maps para Dentistas: 10 Passos Para Aparecer no Top 3",Google Maps dentista como aparecer,Google Maps,,,"O pacote local do Google Maps | Verificar perfil | Categorias corretas | Fotos profissionais | Descrição otimizada | Horários atualizados | Posts semanais | Gestão de avaliações | Perguntas otimizadas | Citações NAP | Schema markup",Seu Google Maps Está Otimizado?,Analisamos seu perfil do Google Maps e mostramos o que corrigir.,Auditoria de Google Maps
7,2026-04-13,pending,P2,leads-nao-aparecem-consulta-no-show-dentista,"Por Que Seus Leads Não Aparecem na Consulta (Sistema Anti-No-Show)",no show paciente dentista como evitar,Conversão,4.2 Leads forget the appointment,,"Custo real de um no-show | 5 razões dos no-shows | Sistema Anti-No-Show: 4 camadas | Confirmação multicanal | Nutrição pré-consulta | Comprometimento financeiro | Automação",Implemente o Sistema Anti-No-Show,Reduza no-shows em até 60% com nosso sistema automatizado.,Quero Reduzir No-Shows
8,2026-04-14,pending,P5,dentista-autoridade-como-ser-referencia,"Como Se Tornar O Dentista Mais Respeitado da Sua Cidade",dentista autoridade referência cidade,Posicionamento,5. Feeling inferior to competitors,"Kennedy Wealth Magnet 8: Be Somebody","Ser bom vs. ser percebido como o melhor | Princípio Be Somebody | Construir autoridade em 90 dias | Google Reviews como indicador | Conteúdo que demonstra expertise | Palestras e parcerias | Efeito composto",Construa Sua Autoridade Digital,Estratégia personalizada para se tornar referência na sua região.,Quero Ser Referência
9,2026-04-15,pending,P1,avaliacoes-google-dentista-como-conseguir,"Como Conseguir 100+ Avaliações 5 Estrelas no Google",avaliações Google dentista como conseguir,Reputação,1.2 No system to generate reviews,,"Avaliações como fator #1 de decisão | Momento perfeito para pedir | Script de solicitação | QR Code + link direto | Automação via WhatsApp | Responder negativas sem violar CFO | Meta: 100 avaliações em 90 dias",Implemente o Reviews Boost System,Sistema automatizado para gerar avaliações 5 estrelas de forma ética.,Quero Mais Avaliações
10,2026-04-16,pending,P2,recepcao-consultorio-perdendo-pacientes,"Sua Recepção Está Perdendo Pacientes? 8 Erros Que Custam Milhares",recepção consultório odontológico treinamento,Gestão,2.4 Untrained front desk,,"Recepção como maior vazamento | Não responder WhatsApp rápido | Dar preço sem gerar valor | Sem script de agendamento | Sem confirmação | Sem follow-up | Tom de voz errado | Não qualificar lead | Não registrar cancelamentos",Sua Recepção Está Convertendo?,Avaliamos o atendimento da sua recepção e criamos scripts sob medida.,Treinamento de Conversão
11,2026-04-17,pending,P4,marketing-ortodontia-invisalign-captar-pacientes,"Marketing para Ortodontia e Invisalign: Atrair Pacientes de Qualidade",marketing ortodontia invisalign,Ortodontia,Step C — Premium Funnel Invisalign,,"Mercado de ortodontia premium | Competir por preço é corrida para o fundo | Posicionamento por expertise | Simulação 3D como conversão | Conteúdo educativo | Google Ads para ortodontia | Upsell",Estratégia Para Ortodontia,Captação personalizada de pacientes para ortodontia e Invisalign.,Quero Captar Pacientes de Ortodontia
12,2026-04-18,pending,P3,regulamentacao-cfo-publicidade-odontologica-2025,"Publicidade Odontológica em 2025: Tudo Que o CFO Permite e Proíbe",publicidade odontológica CFO regras 2025,Compliance,,,"Resoluções do CFO atualizadas | O que PODE | O que NÃO PODE | Redes sociais: regras específicas | Google Ads: compliance | Penalidades | Marketing efetivo dentro das regras",Marketing Dentro Das Regras do CFO,Toda nossa estratégia é desenvolvida em conformidade com o CFO.,Marketing em Conformidade
13,2026-04-19,pending,P5,oferta-irresistivel-dentista-como-criar,"Como Criar uma Oferta Irresistível Para Seu Consultório (Sem Desconto)",oferta irresistível consultório odontológico,Estratégia,,"Hormozi $100M Offers: Grand Slam Offer","Por que desconto destrói valor | Grand Slam Offer | 4 componentes para dentistas | Avaliação premium + planejamento 3D | Empacotar valor sem reduzir preço | Garantias que removem risco | Bônus que aumentam valor",Crie Sua Oferta Premium,Montamos uma oferta irresistível sob medida para seu consultório.,Quero Uma Oferta Premium
14,2026-04-20,pending,P1,whatsapp-business-dentista-converter-leads,"WhatsApp Business para Dentistas: Converter 3x Mais Leads",WhatsApp Business dentista conversão,Conversão,2.3 No WhatsApp nurturing,,"90% dos leads preferem WhatsApp | Configuração profissional | Templates de primeira mensagem | Sequência de nutrição 4 dias | Automação: chatbot vs. humano | Métricas | Integração com CRM",Automatize Seu WhatsApp,Implementamos automação de WhatsApp que converte leads enquanto você atende.,Quero WhatsApp Automatizado
15,2026-04-21,pending,P2,dentista-leads-nao-podem-pagar,"Seus Leads Não Podem Pagar? Como Atrair Pacientes de Alto Valor",dentista atrair pacientes alto valor,Captação,2.2 Leads who can't afford,,"Gastar com marketing e atrair errado | Segmentação por poder aquisitivo | Posicionamento premium | Google Ads de alta intenção | Landing pages que pré-qualificam | Lead scoring automático",Atraia Pacientes Premium,Estratégia de captação focada em pacientes de alto valor.,Captar Pacientes de Alto Valor
16,2026-04-22,pending,P4,marketing-estetica-dental-lentes-contato,"Marketing para Estética Dental: Lentes de Contato e Clareamento",marketing estética dental lentes de contato,Estética,,,"Boom da estética dental no Brasil | Perfil do paciente | Instagram dentro do CFO | Google Ads para estética | Portfolio visual | Harmonização orofacial",Estratégia Para Estética Dental,Captação de pacientes para lentes de contato e clareamento.,Quero Pacientes de Estética
17,2026-04-23,pending,P3,custo-por-lead-dentista-quanto-pagar,"Quanto Custa um Lead Para Dentistas? Benchmarks Reais",custo por lead dentista preço,Dados,,,"O que é CPL | Benchmark por especialidade | Benchmark por cidade | Google Ads vs. Meta Ads | Como reduzir CPL | Custo por paciente convertido",Saiba Quanto Deveria Pagar Por Lead,Comparamos seu CPL com benchmarks reais do mercado odontológico.,Comparar Meu CPL
18,2026-04-24,pending,P5,pensamento-sistemico-consultorio-odontologico,"Pensamento Sistêmico Para Dentistas: Por Que Seu Consultório Não Cresce",gestão consultório odontológico crescimento,Gestão,,"Meadows Thinking in Systems: feedback loops, leverage points","Consultório como sistema com gargalos | Loops de reforço | Loops de equilíbrio | 3 pontos de alavancagem | Visibilidade digital | Conversão da recepção | Retenção e reativação | Diagnosticar gargalos",Onde Está Seu Gargalo?,Diagnosticamos qual gargalo está travando o crescimento do seu consultório.,Diagnóstico de Gargalos
19,2026-04-25,pending,P1,site-consultorio-odontologico-elementos-essenciais,"Site Para Consultório: 12 Elementos Que Convertem Visitantes em Pacientes",site consultório odontológico elementos,Website,1.1 Old website damages credibility,,"Site mais importante que cartão | Headline com proposta | Prova social | WhatsApp fixo | Especialidades dedicadas | Depoimentos | Fotos profissionais | Bio do dentista | Formulário | Blog | Schema | Velocidade | Responsivo",Seu Site Está Convertendo?,Auditoria gratuita do seu site com recomendações de conversão.,Auditoria de Site
20,2026-04-26,pending,P2,dentista-depende-indicacao-como-mudar,"Você Ainda Depende de Indicação? Por Que Isso Está Matando Seu Consultório",dentista depende indicação como captar,Captação,2.1 Reliance on word-of-mouth,,"Indicação não é sistema | O risco quando secam | Transição para captação ativa | SEO local | Google Ads | Conteúdo | Sistema ideal: indicação + digital",Monte Seu Sistema de Captação,Da dependência de indicação para um sistema previsível de captação.,Quero Captação Previsível
21,2026-04-27,pending,P3,marketing-digital-dentista-roi-retorno-investimento,"ROI do Marketing Digital Para Dentistas: Como Calcular e Quando Esperar",ROI marketing digital dentista,Dados,,,"O que é ROI | Fórmula simples | Benchmarks por canal | Timeline realista | Google Ads: retorno em 2-4 semanas | SEO: retorno em 3-6 meses | Dashboard simples",Calcule Seu ROI Potencial,Mostramos o retorno projetado do marketing digital para seu consultório.,Calcular Meu ROI
22,2026-04-28,pending,P5,follow-up-pacientes-sistema-dentista,"O Dinheiro Está no Follow-Up: 80% dos Dentistas Perdem Pacientes",follow up pacientes dentista sistema,Conversão,2.3 No multi-step follow-up,"Kennedy Wealth Magnet 12: Follow-Up","80% das vendas no 5º-12º contato | Por que dentistas desistem cedo | Sistema de 7 toques | Templates por etapa | Automação | Follow-up pós-consulta",Implemente Follow-Up Automatizado,Sistema de follow-up em 7 toques que funciona enquanto você atende.,Quero Follow-Up Automático
23,2026-04-29,pending,P4,marketing-odontopediatria-captar-pais,"Marketing para Odontopediatria: Captar Pais Que Procuram o Melhor Dentista",marketing odontopediatria dentista infantil,Odontopediatria,,,"Perfil do pai/mãe que busca | Palavras-chave que mães digitam | Conteúdo que gera confiança | Google Maps: fotos do ambiente | Instagram para odontopediatria | Retenção semestral",Atraia Mais Famílias,Estratégia personalizada para captação de pacientes infantis.,Marketing Para Odontopediatria
24,2026-04-30,pending,P2,concorrente-dominando-google-como-competir,"Seu Concorrente Domina o Google? 5 Estratégias Para Ultrapassá-lo",concorrente dentista Google como superar,SEO,1.3 Competitors dominating local search,,"Análise competitiva | Vencer no Google Maps | Google Ads acima do orgânico | Conteúdo que rouba snippets | Avaliações superiores | Presença em IA",Análise Competitiva Gratuita,Mostramos exatamente o que seu concorrente faz e como superá-lo.,Analisar Meus Concorrentes
25,2026-05-01,pending,P1,instagram-dentista-conteudo-que-converte,"Instagram para Dentistas: 15 Ideias de Conteúdo Que Convertem",Instagram dentista conteúdo ideias,Redes Sociais,1.1 Irregular posting,,"Por que a maioria erra | 5 conteúdos educativos | 5 provas sociais | 5 bastidores | Frequência ideal | Hashtags e SEO | Call-to-action",Gestão de Redes Sociais,Criamos e publicamos conteúdo estratégico para seu Instagram.,Quero Gestão de Instagram
26,2026-05-02,pending,P3,tendencias-marketing-odontologico-2025,"7 Tendências do Marketing Odontológico em 2025",tendências marketing odontológico 2025,Tendências,,,"GEO e IA | Vídeo curto | Automação WhatsApp | SEO hiperlocal | Pacientes pesquisando antes | Review management | Personalização por dados",Prepare Seu Consultório Para 2025,Implementamos as tendências que vão definir quem cresce.,Quero Me Preparar
27,2026-05-03,pending,P5,dentista-medo-investir-marketing-como-superar,"Medo de Investir em Marketing? Como Dentistas Superam o Bloqueio",dentista medo investir marketing,Mentalidade,4. Financial Fears,"Kennedy Wealth Magnet 5: No Fear / Hormozi: reducing risk","O medo real: já tentei e não funcionou | Por que falhou | Marketing não é custo | 1 implante paga meses | Reduzir risco: garantias e testes | Histórias reais",Diagnóstico Sem Risco,Gratuito e sem compromisso. Sem risco para você.,Diagnóstico Gratuito
28,2026-05-04,pending,P1,landing-page-dentista-alta-conversao,"Landing Page Para Dentistas: Páginas Que Convertem 3x Mais",landing page dentista conversão,Conversão,2.5 No landing page,,"Landing page vs. site | Estrutura em 7 seções | Headline com resultado | Prova social | Como funciona | Benefícios | Depoimentos | FAQ | CTA final | Erros comuns",Landing Page Profissional,Criamos landing pages de alta conversão para cada especialidade.,Quero Landing Page
29,2026-05-05,pending,P2,agenda-caotica-dentista-como-organizar,"Agenda Caótica? Como Organizar Para Maximizar Faturamento",organizar agenda consultório odontológico,Gestão,2.4 Bad agenda management,,"Custo oculto da desorganização | Horários nobres para alto valor | Valor/hora por procedimento | Blocos de agenda | Ferramentas de agendamento | Automação de lembretes",Otimize Sua Agenda,Reorganizamos sua agenda para maximizar faturamento por hora.,Quero Agenda Otimizada
30,2026-05-06,pending,P4,marketing-endodontia-emergencia-dental,"Marketing para Endodontia: Captar Pacientes de Emergência",marketing endodontia tratamento canal,Endodontia,,,"Paciente de urgência + medo | Palavras-chave de emergência | Google Ads para urgência | Google Maps para dor | Conteúdo educativo | Conversão rápida",Capte Pacientes de Endodontia,Estratégia para aparecer quando pacientes buscam com urgência.,Marketing Para Endodontia
31,2026-05-07,pending,P1,seo-local-dentista-bairro-regiao,"SEO Hiperlocal: Como Dominar Buscas no Seu Bairro",SEO local dentista bairro,SEO,,,"'Dentista em [bairro]' converte mais | Páginas por região | Google Maps por bairro | Conteúdo localizado | Citações locais | Cases de micro-regiões",Domine as Buscas do Seu Bairro,SEO hiperlocal que posiciona você como referência na sua micro-região.,Quero SEO Hiperlocal
32,2026-05-08,pending,P5,demonstracao-resultados-dentista-marketing,"Demonstração É a Nova Publicidade: Mostre Que Você É o Melhor",demonstrar resultados dentista marketing,Posicionamento,,"Kennedy Wealth Magnet 11: Demonstration","'Somos os melhores' não convence | Poder da demonstração | 5 formas sem violar CFO | Vídeos educativos | Dados e métricas | Cases contextualizados",Construa Sua Estratégia de Demonstração,Mostramos como demonstrar expertise de forma convincente.,Quero Demonstrar Resultados
33,2026-05-09,pending,P2,dentista-pacientes-somem-depois-primeira-consulta,"Pacientes Somem Depois da Primeira Consulta? Como Trazê-los de Volta",paciente some depois primeira consulta,Retenção,3.1 Patients disappearing,,"Custo de adquirir vs. reter | 5 razões que não voltam | Sistema de reativação | WhatsApp automático semestral | Programa VIP | Follow-up pós-tratamento",Reative Seus Pacientes Inativos,Sistema de reativação que traz pacientes de volta automaticamente.,Quero Reativar Pacientes
34,2026-05-10,pending,P3,google-ads-dentista-erros-que-desperdicam-dinheiro,"8 Erros em Google Ads Que Desperdiçam R$3.000/Mês",Google Ads dentista erros dinheiro,Ads,,,"Sem palavras-chave negativas | Landing page genérica | Sem extensões | Sem separar campanhas | Orçamento espalhado | Sem rastrear conversões | Copiar concorrente | Desistir cedo",Auditoria de Google Ads,Encontramos onde seus anúncios estão desperdiçando dinheiro.,Auditoria Gratuita de Ads
35,2026-05-11,pending,P4,marketing-periodontia-educar-pacientes,"Marketing para Periodontia: Educar Pacientes Que Não Sabem Que Precisam",marketing periodontia pacientes,Periodontia,,,"50% dos adultos têm doença periodontal | Conteúdo educativo como funil | SEO para sintomas | Parcerias com clínicos gerais | Consulta em tratamento recorrente | Receita recorrente",Estratégia Para Periodontia,Captação de pacientes para periodontia através de educação digital.,Marketing Para Periodontia
36,2026-05-12,pending,P1,meta-ads-dentista-facebook-instagram,"Meta Ads Para Dentistas: Campanhas no Facebook e Instagram",Facebook Ads Instagram Ads dentista,Ads,,,"Quando usar Meta vs. Google | Estrutura de campanha | Criativos respeitando CFO | Segmentação e lookalike | Retargeting | Orçamento por especialidade",Campanhas de Meta Ads,Criamos campanhas no Facebook e Instagram que geram pacientes reais.,Quero Meta Ads
37,2026-05-13,pending,P2,dentista-cobrar-mais-sem-perder-pacientes,"Como Cobrar Mais Sem Perder Pacientes: Precificação Para Dentistas",dentista cobrar mais precificação,Gestão,2.1 Underpricing,,"Medo de cobrar | Precificação por valor vs. custo | Aumentar preço gradualmente | Comunicação de valor | Pacotes e bundles | Financiamento como ferramenta",Reposicione Seu Preço,Estratégia de precificação que aumenta ticket sem perder pacientes.,Quero Cobrar Mais
38,2026-05-14,pending,P5,escassez-urgencia-consultorio-odontologico,"Escassez e Urgência Ética: Exclusividade Para Lotar Sua Agenda",escassez urgência marketing dentista,Estratégia,,"Hormozi: Scarcity, Urgency, Guarantees","Psicologia da escassez | Escassez real vs. fabricada | Exclusividade territorial | Vagas limitadas | Promoções com deadline | Comunicar sem parecer desespero",Aplique Escassez Ética,Modelo de exclusividade territorial que gera urgência genuína.,Verificar Disponibilidade
39,2026-05-15,pending,P3,chatgpt-recomendando-dentistas-como-aparecer,"ChatGPT Está Recomendando Dentistas — Você Está Entre Eles?",ChatGPT recomenda dentista como aparecer,GEO,,,"Teste: pergunte ao ChatGPT | Como ChatGPT escolhe | Fatores que influenciam | 3 ações para ser citado em 60 dias | Schema markup | Futuro: 40% das buscas por IA",Apareça em Respostas de IA,Otimizamos sua presença para ser recomendado por ChatGPT e Gemini.,Diagnóstico de IA
40,2026-05-16,pending,P1,email-marketing-dentista-reativacao-pacientes,"E-mail Marketing Para Dentistas: Reativar Pacientes e Gerar Retorno",email marketing dentista reativação,Retenção,4.4 No reactivation campaigns,,"E-mail ainda funciona | Segmentação | Sequência de reativação 5 e-mails | Newsletter mensal | Automação semestral | Templates prontos",Reative Sua Base de Pacientes,E-mail automatizado que traz pacientes de volta sem esforço.,Quero Reativação Automática
41,2026-05-17,pending,P4,marketing-harmonizacao-orofacial-captar-pacientes,"Marketing para Harmonização Orofacial: Pacientes de Estética Premium",marketing harmonização orofacial,Estética,Step C — Premium Funnel HOF,,"Mercado de HOF no Brasil | Posicionamento: natural vs. exagero | Perfil do paciente | Conteúdo visual no Instagram | Google Ads para HOF | Simulação digital | Upsell",Estratégia Para Harmonização,Captação de pacientes para harmonização orofacial premium.,Marketing Para HOF
42,2026-05-18,pending,P2,dentista-burnout-trabalho-demais-como-resolver,"Burnout no Consultório: Trabalhar Menos e Faturar Mais",dentista burnout trabalhar menos faturar mais,Gestão,6. Constant stress and burnout,"Hormozi: Reducing Effort & Sacrifice","Epidemia de burnout | Trabalhar mais não é resposta | Mais procedimentos de alto valor | Automação | Delegação e treinamento | Modelo: 4 dias/semana premium | Case real",Redesenhe Sua Operação,Consultoria para trabalhar menos horas com mais faturamento.,Quero Trabalhar Menos
