Day,Date,Status,Pillar,Slug,Title,Target Keyword,Category,Problem Ref,Framework Ref,Outline,CTA Heading,CTA Description,CTA Button
43,2026-05-19,pending,P1,crm-dentista-gestao-pacientes-leads,"CRM Para Dentistas: Gerenciar Leads e Pacientes Sem Perder Nenhum",CRM dentista gestão pacientes,Ferramentas,2.4 No CRM,,"O que é CRM | 3 funções essenciais | CRMs recomendados | Pipeline de leads | Automação | Métricas no dashboard",Implemente CRM,Sistema de CRM configurado para consultórios odontológicos.,Quero CRM no Consultório
44,2026-05-20,pending,P5,atracao-riqueza-dentista-mentalidade-crescimento,"Mentalidade de Abundância: O Que Separa Dentistas de R$50k e R$200k/Mês",dentista mentalidade crescimento faturamento,Mentalidade,,"Kennedy Wealth Magnet 2: Belief in Abundance","Escassez vs. abundância | Por que talentosos ficam presos | Pare de comprar narrativas negativas | Como os de sucesso pensam | Investir em crescimento | 5 mudanças de mentalidade",Desbloqueie Seu Crescimento,Diagnóstico que mostra o potencial de faturamento do seu consultório.,Desbloquear Crescimento
45,2026-05-21,pending,P2,dentista-branding-marca-premium,"Branding Para Dentistas: Marca Que Cobra Premium e Atrai Valor",branding dentista marca premium,Posicionamento,1.1 Lack of brand identity,,"Ter logo vs. ter marca | Visual que transmite premium | Tom de voz | Consistência multi-canal | Case: rebranding +40% ticket | 8 elementos de marca forte",Eleve Sua Marca,Construímos marcas odontológicas que justificam preço premium.,Quero Marca Premium
46,2026-05-22,pending,P3,tiktok-reels-dentista-vale-a-pena,"TikTok e Reels Para Dentistas: Vale a Pena?",TikTok Reels dentista,Redes Sociais,,,"Pacientes jovens usam TikTok | O que funciona | O que CFO proíbe | Formatos com engajamento | Frequência | ROI: traz pacientes?",Estratégia de Vídeo,Criamos conteúdo de vídeo curto que atrai pacientes — dentro do CFO.,Quero Vídeos
47,2026-05-23,pending,P4,marketing-protese-dentaria-pacientes-idosos,"Marketing para Prótese Dentária: Alcançar Pacientes de Reabilitação",marketing prótese dentária reabilitação oral,Prótese,,,"Perfil do paciente: necessidade + vergonha | Linguagem empática | Google Ads para reabilitação | Conteúdo educativo | Google Maps | Financiamento",Capte Pacientes de Prótese,Estratégia de captação para prótese e reabilitação oral.,Marketing Para Prótese
48,2026-05-24,pending,P1,schema-markup-dentista-seo-tecnico,"Schema Markup Para Dentistas: O SEO Técnico Que 95% Ignoram",schema markup dentista SEO técnico,SEO,,,"O que é schema e por que Google ama | 5 schemas essenciais | LocalBusiness/Dentist | FAQPage | HowTo | Review schema | Ferramentas de validação",Implemente Schema No Seu Site,Schema markup configurado por especialistas em SEO odontológico.,Quero Schema Markup
49,2026-05-25,pending,P5,leads-estranhos-dentista-como-atrair,"Como Fazer Estranhos Quererem Agendar Com Você",captação pacientes odontológicos estratégia,Captação,,"Hormozi $100M Leads: Core 4","4 métodos fundamentais | Warm outreach | Cold outreach | Content | Paid ads | Escolher o método certo | Combinar múltiplos canais",Monte Sua Estratégia de Captação,Os 4 métodos de captação aplicados à odontologia.,Quero Captação Completa
50,2026-05-26,pending,P2,script-venda-consultorio-dentista,"Script de Venda: Como Sua Equipe Pode Converter 2x Mais",script venda consultório dentista,Conversão,2.3 No scripts,,"Improviso mata vendas | Script WhatsApp | Script telefone | Script follow-up | Script objeções | Treinar sem ser robótico | Templates para download",Scripts Para Sua Equipe,Scripts de venda testados e prontos para sua recepção usar.,Quero Scripts Prontos
51,2026-05-27,pending,P3,dados-mercado-odontologico-brasil-2025,"Mercado Odontológico Brasileiro em 2025: Dados e Oportunidades",mercado odontológico Brasil 2025 dados,Dados,,,"Número de dentistas no Brasil | Faturamento por especialidade | Cidades: demanda vs. oferta | Procedimentos mais buscados | Tendências de preço | Oportunidades inexploradas",Análise do Mercado Na Sua Região,Dados de mercado específicos para sua cidade e especialidade.,Análise de Mercado
52,2026-05-28,pending,P1,como-medir-resultados-marketing-dentista,"Medir Resultados do Marketing: As 7 Métricas Que Importam",medir resultados marketing dentista métricas,Dados,2.5 Poor tracking,,"Curtidas não pagam contas | CPL | Taxa de conversão | Show rate | Custo por paciente | Ticket médio | LTV | ROI por canal",Dashboard de Métricas,Configuramos um dashboard com as métricas que realmente importam.,Quero Meu Dashboard
53,2026-05-29,pending,P4,marketing-clinica-odontologica-multiespecialidade,"Marketing Para Clínicas Multidisciplinares: Sem Diluir a Mensagem",marketing clínica odontológica multiespecialidade,Estratégia,,,"Promover tudo = promover nada | Serviço âncora | Páginas por especialidade | Campanhas separadas | Cross-sell inteligente | Google Maps multi",Estratégia Para Clínica Multi,Marketing estruturado para clínicas com múltiplas especialidades.,Quero Estratégia Multi
54,2026-05-30,pending,P5,garantias-consultorio-odontologico-confianca,"Garantias Que Vendem: Remover Medo e Aumentar Conversão",garantia consultório odontológico conversão,Conversão,,"Hormozi: Guarantees","Medo é maior que desejo | Tipos de garantia para odontologia | Satisfação com planejamento | Garantia condicional | Pós-operatório assistido | Comunicar sem prometer resultado (CFO) | Impacto na conversão",Implemente Garantias Inteligentes,Garantias que aumentam conversão sem risco regulatório.,Quero Garantias
55,2026-05-31,pending,P2,dentista-equipe-nao-funciona-como-resolver,"Sua Equipe Não Funciona? Como Alinhar Para Crescer",equipe consultório odontológico treinamento,Gestão,3.2 Staff not following scripts,,"Equipe desalinhada e faturamento | Recepção: gargalo #1 | Scripts e protocolos | Reuniões de 15 minutos | Métricas por pessoa | Accountability sem conflito",Alinhe Sua Equipe,Treinamento e scripts para recepção e assistentes.,Quero Equipe Alinhada
56,2026-06-01,pending,P1,google-ads-vs-seo-dentista-qual-melhor,"Google Ads vs. SEO Para Dentistas: Qual Investir Primeiro?",Google Ads vs SEO dentista,Estratégia,,,"Depende do momento | Ads: resultado rápido custo contínuo | SEO: resultado demorado retorno crescente | Comparação por especialidade | Cenário ideal: ambos | Dividir orçamento | Timeline realista",Estratégia Combinada,Ads + SEO trabalhando juntos para máximo retorno.,Quero Ads + SEO
57,2026-06-02,pending,P3,perplexity-gemini-dentista-como-aparecer,"Perplexity e Gemini: As Novas Buscas de IA Para Dentistas",Perplexity Gemini dentista IA busca,GEO,,,"Além do Google | Como funciona cada plataforma | Diferenças entre IAs | Otimizando para Perplexity | Otimizando para Gemini | Checklist: 5 ações",Presença em Todas as IAs,Otimização para todas as plataformas de busca por IA.,Quero Presença em IA
58,2026-06-03,pending,P5,dentista-falar-linguagem-dinheiro,"Fale a Linguagem do Dinheiro: Como Dentistas de Sucesso Pensam",dentista investimento marketing retorno,Mentalidade,,"Kennedy Wealth Magnet 7: Speak Money","Linguagem que separa quem cresce | De custo para investimento | De gastar para ROI | Valor do paciente em 5 anos | A conta antes de investir | Mentalidade de investidor",Pense Como Investidor,Diagnóstico com projeção de ROI para seu consultório.,Quero Projeção de ROI
59,2026-06-04,pending,P2,pacientes-so-querem-preco-como-lidar,"Pacientes Só Perguntam Preço? Como Mudar Para Valor",paciente pergunta preço dentista,Conversão,2.2 Leads looking for quotes / 1.1 Prices challenged,,"Por que perguntam preço | Erro: responder com número | Técnica de redirecionamento | Script para WhatsApp | Pré-qualificar na landing page | Posicionamento que atrai qualidade",Converta Leads de Preço,Scripts que transformam perguntas de preço em agendamentos.,Quero Converter Leads
60,2026-06-05,pending,P4,marketing-dentista-clinico-geral,"Marketing Para Dentista Clínico Geral: Competir Quando Todos São Iguais",marketing dentista clínico geral diferenciação,Clínico Geral,,,"Desafio: parecer 'mais do mesmo' | Diferenciação | SEO local para buscas genéricas | Google Maps como arma | Conteúdo mostrando expertise | Cross-referral com especialistas",Diferencie Sua Clínica Geral,Posicionamento que diferencia seu consultório da concorrência.,Quero Me Diferenciar
61,2026-06-06,pending,P1,automacao-marketing-dentista-ferramentas,"Automação de Marketing: 5 Ferramentas Que Trabalham Por Você",automação marketing dentista ferramentas,Ferramentas,2.4 Manual processes,,"Marketing sem intervenção | WhatsApp API + chatbot | Google Meu Negócio auto-posts | E-mail automatizado | CRM com pipeline | Agendamento online | Integrar tudo",Automatize Seu Marketing,5 automações implementadas para seu consultório.,Quero Automação
62,2026-06-07,pending,P3,marketing-saude-digital-brasil-regulamentacao,"Marketing Digital Para Saúde no Brasil: Regulamentação e Oportunidades",marketing digital saúde Brasil regulamentação,Compliance,,,"Cenário regulatório | CFO vs. CFM | LGPD e dados de pacientes | Ética na publicidade | O que outros países fazem | Oportunidades dentro das regras",Marketing Ético e Efetivo,Estratégia em conformidade com todas as regulamentações.,Quero Conformidade
63,2026-06-08,pending,P5,dentista-oportunidade-mercado-como-aproveitar,"Oportunismo Estratégico: Aproveitar Oportunidades Que Outros Ignoram",dentista oportunidade mercado crescimento,Estratégia,,"Kennedy Wealth Magnet 4: Opportunism","Oportunismo é inteligência | Presença em IA | Dominar Google Maps no bairro | Especializar quando todos generalizam | Automação para escalar | Identificar oportunidades antes",Identifique Oportunidades,Análise de oportunidades inexploradas na sua região.,Quero Ver Oportunidades
64,2026-06-09,pending,P2,financiamento-tratamento-dentario-como-oferecer,"Financiamento de Tratamentos: Oferecer Sem Comprometer Seu Caixa",financiamento tratamento dentário,Gestão,Step C: Financiamento 12x,,"Impacto na conversão | Parcelamento próprio vs. financeiras | Comunicar na landing page | Margem vs. volume | Plataformas para saúde | Scripts de apresentação",Aumente Conversão Com Financiamento,Implementamos opções de financiamento que aumentam conversão.,Quero Financiamento
65,2026-06-10,pending,P1,conteudo-blog-dentista-o-que-escrever,"Blog Para Dentistas: 30 Ideias de Artigos Que Atraem Pacientes",blog dentista ideias artigos SEO,Conteúdo,,,"Blog ainda funciona | 10 artigos informacionais | 10 artigos comerciais | 10 artigos de decisão | Estrutura ideal | Frequência | SEO checklist",Gestão de Conteúdo,Criamos e publicamos artigos que atraem pacientes via Google.,Quero Blog Profissional
66,2026-06-11,pending,P4,marketing-dentista-rural-cidades-pequenas,"Marketing Para Dentistas em Cidades Pequenas: Estratégias Que Funcionam",marketing dentista cidade pequena interior,Estratégia,,,"Menos concorrência = mais oportunidade | Google Maps dominante | SEO local rápido | Instagram como canal | Parcerias locais | Google Ads com orçamento reduzido",Marketing Para Interior,Estratégias adaptadas para cidades pequenas e médias.,Quero Marketing Local
67,2026-06-12,pending,P5,dentista-sem-desculpas-crescimento,"Sem Desculpas: Nenhuma Justificativa Salva Seu Consultório",dentista crescimento consultório estagnação,Mentalidade,,"Kennedy Wealth Magnet 6: No Excuses","As desculpas mais comuns | Cidade pequena demais | Marketing não funciona | Já tentei | Não tenho tempo | Meus pacientes são indicação | Cada desculpa tem solução",Quebre o Ciclo,O primeiro passo é o diagnóstico — gratuito e sem compromisso.,Quero Começar Agora
68,2026-06-13,pending,P2,parcerias-estrategicas-dentista-indicacoes,"Parcerias Estratégicas: Redes de Indicação Que Geram Pacientes",parcerias estratégicas dentista referral,Captação,3.3 Weak referral partnerships,,"Indicação estruturada vs. espontânea | Parcerias com profissionais de saúde | Convênio corporativo | Programa de indicação para pacientes | Incentivos éticos | Formalizar e rastrear",Monte Sua Rede de Parcerias,Sistema de parcerias que gera indicações previsíveis.,Quero Parcerias
69,2026-06-14,pending,P1,seo-tecnico-consultorio-odontologico,"SEO Técnico Para Consultórios: 8 Ajustes Que o Google Adora",SEO técnico consultório odontológico,SEO,,,"O que é SEO técnico | Velocidade (Core Web Vitals) | Mobile-first | HTTPS | Sitemap e robots.txt | Schema markup | URLs amigáveis | Erros 404",Auditoria Técnica,Verificamos e corrigimos problemas técnicos de SEO no seu site.,Auditoria de SEO Técnico
70,2026-06-15,pending,P3,video-marketing-dentista-youtube,"YouTube Para Dentistas: Vídeos Que Atraem (Sem Ser YouTuber)",YouTube dentista vídeos marketing,Conteúdo,,,"YouTube: 2ª maior busca | Tipos de vídeo que funcionam | Equipamento mínimo | SEO no YouTube | Compliance CFO | 1 vídeo → 5 peças de conteúdo",Estratégia de Vídeo,Produzimos conteúdo de vídeo estratégico para seu consultório.,Quero Vídeos
71,2026-06-16,pending,P2,dentista-nao-aparece-online-como-resolver,"Invisível Online? Plano de 30 Dias Para Aparecer",dentista não aparece Google como resolver,Visibilidade,5. Feeling forgotten online,,"Diagnóstico: por que não aparece | Semana 1: Google Meu Negócio | Semana 2: SEO básico | Semana 3: avaliações e citações | Semana 4: conteúdo + Ads | De invisível para top 3",Saia Da Invisibilidade,Plano de 30 dias para colocar seu consultório no mapa digital.,Quero Aparecer Online
72,2026-06-17,pending,P4,marketing-clinica-popular-baixo-custo,"Marketing Para Clínicas Populares: Volume Sem Depender Só de Preço",marketing clínica popular odontológica,Estratégia,,,"Modelo popular: volume + acessibilidade | Diferenciação além de preço | Google Maps principal | Anúncios de acessibilidade | Operação eficiente | Fidelização primeira consulta",Estratégia Para Clínica Popular,Marketing que gera volume sem comprometer margem.,Quero Volume de Pacientes
73,2026-06-18,pending,P5,dentista-esteja-em-algum-lugar-presenca-digital,"Esteja Em Algum Lugar: Dentistas Invisíveis Perdem a Guerra",dentista presença digital importância,Posicionamento,,"Kennedy Wealth Magnet 9: Be Somewhere","Se não te encontram não existe | 5 lugares obrigatórios | Google Maps | Site otimizado | Instagram | Plataformas de IA | Priorizar com orçamento limitado",Construa Sua Presença Digital,Os 5 canais onde todo dentista precisa estar — implementados para você.,Quero Presença Digital
74,2026-06-19,pending,P1,retargeting-dentista-anuncios-remarketing,"Retargeting: Alcançar Quem Visitou Seu Site Mas Não Agendou",retargeting remarketing dentista,Ads,,,"O que é retargeting | 96% não convertem na primeira vez | Meta Ads retargeting | Google Ads retargeting | Criativos que convertem | Orçamento para remarketing",Implemente Retargeting,Campanhas de retargeting que recuperam visitantes perdidos.,Quero Retargeting
75,2026-06-20,pending,P2,expectativa-paciente-resultado-como-gerenciar,"Gerenciamento de Expectativas: Evitar Avaliações Negativas",gerenciar expectativa paciente dentista,Reputação,4.3 No expectation management,,"Causa #1 de insatisfação | Momento de alinhar | Técnicas de comunicação | Consentimento informado | Follow-up pós-procedimento | Quando algo dá errado",Previna Avaliações Negativas,Sistema de gestão de expectativas que previne problemas.,Quero Prevenir Problemas
76,2026-06-21,pending,P3,lgpd-consultorio-odontologico-dados-pacientes,"LGPD Para Consultórios: O Que Saber Sobre Dados de Pacientes",LGPD consultório odontológico dados,Compliance,,,"O que é LGPD | Dados que coleta e protege | Consentimento | WhatsApp e marketing | CRM: requisitos | Penalidades",Adeque-se à LGPD,Adequação LGPD para consultórios odontológicos.,Quero Adequação LGPD
77,2026-06-22,pending,P5,dentista-acao-supera-perfeicao,"Pare de Planejar Comece a Executar: Ação Supera Perfeição",dentista marketing ação execução,Mentalidade,,"Kennedy Wealth Magnet 10: Do Something","Paralisia por análise | Perfeccionistas ficam para trás | 'Bom o suficiente' | 3 ações para fazer HOJE | Google Meu Negócio: 30 min | WhatsApp: 1 template | Efeito composto",Comece Hoje,O diagnóstico gratuito é o primeiro passo — leva 30 minutos.,Quero Começar Agora
78,2026-06-23,pending,P1,analise-concorrencia-dentista-ferramentas,"Análise de Concorrência: Ferramentas Gratuitas Para Espiar o Rival",análise concorrência dentista ferramentas,Ferramentas,,,"Por que monitorar | Google Maps dos concorrentes | Facebook Ad Library | SEO gratuito | Google Alerts | Aplicação prática",Análise Competitiva,Análise completa dos seus concorrentes com recomendações.,Quero Analisar Concorrentes
79,2026-06-24,pending,P2,sazonalidade-odontologia-como-manter-faturamento,"Sazonalidade: Manter Faturamento Estável o Ano Todo",sazonalidade odontologia faturamento,Gestão,2.1 High seasonality,,"Meses fortes e fracos | Estratégias para baixa | Planejamento por trimestre | Suavizar com pacientes recorrentes | Manutenção semestral | Marketing antecipado",Estabilize Seu Faturamento,Planejamento de marketing que suaviza a sazonalidade.,Quero Faturamento Estável
80,2026-06-25,pending,P4,marketing-dentista-idoso-geriatria,"Marketing Para Odontogeriatria: Alcançar Pacientes Idosos",marketing odontogeriatria pacientes idosos,Odontogeriatria,,,"Envelhecimento do Brasil | Quem decide: idoso ou familiar | Canais: Google + indicação | Conteúdo empático | Comunicação acessível | Parcerias com geriátras",Estratégia Para Público Sênior,Marketing empático para captação de pacientes idosos.,Marketing Para Idosos
81,2026-06-26,pending,P5,integridade-marketing-dentista-confianca,"Integridade Como Estratégia: Dentistas Honestos Crescem Mais",integridade marketing dentista confiança,Posicionamento,,"Kennedy Wealth Magnet 13: Integrity","Integridade é vantagem competitiva | Transparência gera confiança | Preço justo como diferencial | Avaliações reais | Compliance CFO | Efeito longo prazo",Marketing Com Integridade,Estratégia construída sobre transparência e resultados reais.,Quero Marketing Honesto
82,2026-06-27,pending,P1,google-ads-palavras-chave-negativas-dentista,"Palavras-Chave Negativas: Lista Que Economiza R$1.000/Mês",palavras-chave negativas Google Ads dentista,Ads,,,"O que são e por que críticas | Lista completa para odontologia (50+ termos) | Negativas universais | Negativas por especialidade | Revisar semanalmente | Redução de 20-40% no CPL",Auditoria de Palavras-Chave,Configuramos suas palavras-chave negativas para parar de desperdiçar.,Auditoria de Ads
83,2026-06-28,pending,P2,programa-fidelidade-dentista-retencao-pacientes,"Programa de Fidelidade: Transformar Pacientes em Fãs",programa fidelidade dentista retenção,Retenção,4.4 No VIP programs,,"Adquirir vs. reter (5x mais caro) | Manutenção semestral | Programa VIP | Indicação com recompensa | Automação: lembretes e datas | Medir retenção e LTV",Crie Seu Programa VIP,Programa de fidelidade que transforma pacientes em promotores.,Quero Programa VIP
84,2026-06-29,pending,P3,futuro-odontologia-digital-2025-2030,"Futuro da Odontologia Digital: 2025 a 2030",futuro odontologia digital 2025 2030,Tendências,,,"IA no diagnóstico | Teleodontologia | Impressão 3D | Marketing automatizado por IA | Busca por voz | Personalização via dados | O que fazer AGORA",Prepare-se Para o Futuro,Estratégia que posiciona seu consultório para o futuro.,Quero Me Preparar
85,2026-06-30,pending,P1,citacoes-locais-dentista-nap,"Citações Locais Para Dentistas: O Que São e Como Construir",citações locais NAP dentista SEO,SEO,,,"O que são citações locais | Por que Google usa | 10 diretórios importantes | Criar e manter consistentes | Ferramentas de monitoramento | Impacto de inconsistências",Construa Suas Citações,Cadastro em diretórios estratégicos com NAP consistente.,Quero Citações Locais
86,2026-07-01,pending,P4,marketing-dentista-atm-disfuncao-temporomandibular,"Marketing Para ATM/DTM: Captar Pacientes Com Disfunção",marketing DTM ATM dentista,ATM/DTM,,,"Paciente de DTM: dor crônica | Palavras-chave de sintomas | Conteúdo educativo como funil | Google Ads para sintomas | Parcerias com fisioterapeutas | Posicionamento como especialista",Marketing Para DTM,Captação de pacientes de DTM que não sabem que precisam de dentista.,Captar Pacientes DTM
87,2026-07-02,pending,P5,dentista-prova-social-como-construir,"Prova Social: 7 Formas de Mostrar Que Você É a Melhor Escolha",prova social dentista consultório,Conversão,,"Hormozi: Social proof / Kennedy: Demonstration","Pessoas seguem o que outros aprovam | Avaliações Google | Depoimentos em vídeo | Números e métricas | Certificações | Prêmios | Presença na mídia | Bastidores",Construa Sua Prova Social,Sistema de prova social que converte visitantes em pacientes.,Quero Prova Social
88,2026-07-03,pending,P2,whatsapp-paciente-nao-responde-como-recuperar,"Lead Não Responde no WhatsApp? 5 Estratégias Para Recuperar",lead WhatsApp não responde dentista,Conversão,2.2 Leads who don't respond,,"Por que param de responder | Mensagem genérica sem personalização | Valor não cobrança | Prova social oportuna | Lembrete com prazo | Mudança de canal | Reengajamento via ads | Templates",Recupere Leads Perdidos,Templates e automação para recuperar leads que sumiram.,Quero Recuperar Leads
89,2026-07-04,pending,P3,marketing-odontologico-portugal-expansao,"Marketing Odontológico em Portugal: Oportunidades Para Brasileiros",marketing odontológico Portugal dentista brasileiro,Internacional,,,"Mercado português | Diferenças regulatórias | SEO em Portugal | Poucos investem em digital | Adaptar estratégias | LK Digital em Portugal",Marketing em Portugal,Expandimos estratégias para dentistas brasileiros em Portugal.,Quero Expandir Para Portugal
90,2026-07-05,pending,P1,checklist-completo-marketing-digital-dentista,"Checklist Definitivo: 50 Ações Para Agenda Cheia",checklist marketing digital dentista completo,Guia,,,"Presença digital (10 ações) | SEO local e Maps (10 ações) | Conteúdo e redes (10 ações) | Anúncios pagos (10 ações) | Conversão e retenção (10 ações) | Download PDF",O Checklist Completo,50 ações organizadas por prioridade para sua agenda ficar cheia.,Baixar Checklist e Começar